id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,LINKE,Politik,Deutschland
cs,Constanze Stelzenmüller,,Wissenschaft,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Wissenschaft,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,GRUENE,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Diplomatie,Ukraine
agl,Alexander G. Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
rh,Robert Habeck,GRUENE,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
CDU,CDU,,Partei,Deutschland
SPD,SPD,,Partei,Deutschland
FDP,FDP,,Partei,Deutschland
LINKE,Die Linke,,Partei,Deutschland
GRUENE,Bündnis 90/Die Grünen,,Partei,Deutschland
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
