id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,LINKE,Politik,Deutschland
cs,Constanze Stelzenmüller,KEINE,Wissenschaft,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,KEINE,Wissenschaft,Deutschland
lm,Ljudmyla Melnyk,KEINE,Wissenschaft,Ukraine
kd,Kristina Dunz,KEINE,Journalismus,Deutschland
el,Egils Levits,KEINE,Politik,Lettland
ab,Annalena Baerbock,GRUENE,Politik,Deutschland
ft,Frans Timmermans,KEINE,Politik,Niederlande
am,Andrij Melnyk,KEINE,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,KEINE,Militär,Deutschland
rh,Robert Habeck,GRUENE,Politik,Deutschland
cm,Claudia Major,KEINE,Wissenschaft,Deutschland
kp,Katja Petrowskaja,KEINE,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,Deutschland
501,Folge 501,,,Deutschland
502,Folge 502,,,Deutschland
503,Folge 503,,,Deutschland
CDU,CDU,CDU,Partei,Deutschland
SPD,SPD,SPD,Partei,Deutschland
FDP,FDP,FDP,Partei,Deutschland
LINKE,LINKE,LINKE,Partei,Deutschland
GRUENE,Bündnis 90/Die Grünen,GRUENE,Partei,Deutschland
KEINE,Parteilos,KEINE,Sonstige,International
